Gene	E1A1	E1A2	E1B1	E1B2	E2A1	E2A2	E2B1	E2B2	G1A1	G1A2	G1B1	G1B2	G2A1	G2A2	G2B1	G2B2
Q0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R0010W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R0020C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R0030W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R0040C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL001C	884	457	993	395	751	579	965	901	682	889	677	1286	652	484	787	934
YAL002W	922	511	1003	453	852	613	1019	925	791	985	685	1080	797	586	994	982
YAL003W	9256	5140	10329	4541	10412	6657	9282	8869	7973	10526	8354	14371	10015	6723	10215	11661
YAL004W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL005C	31872	17042	35876	15470	32162	20541	31299	30642	18159	23616	19322	33089	21443	14189	23741	26020
YAL007C	1271	738	1390	607	1511	980	1379	1383	1297	1707	1055	1978	1357	1017	1557	1673
YAL008W	1109	636	1081	524	1243	834	1101	1070	1473	1774	1151	2094	1707	1251	1704	1747
YAL009W	564	325	522	240	532	354	599	485	521	665	454	946	593	385	643	616
YAL010C	424	231	448	188	399	277	433	387	383	473	310	519	404	278	428	468
YAL011W	550	331	513	259	540	387	533	543	302	376	297	486	338	208	321	381
YAL012W	4994	2701	5219	2175	5122	3253	4218	4397	5346	7209	5631	8984	6904	4413	6619	8218
YAL013W	635	380	631	303	694	440	529	520	394	395	342	563	427	275	435	453
YAL014C	797	498	874	397	794	531	687	747	621	769	599	1135	713	486	778	821
YAL015C	609	339	645	270	569	426	625	534	392	518	400	621	446	280	475	541
YAL016C-A	3	5	2	1	8	4	6	1	1	4	2	1	4	2	4	5
YAL016C-B	2	2	4	1	7	2	1	5	4	3	3	1	3	4	3	7
YAL016W	2902	1566	2758	1228	2729	1724	2622	2580	2498	3165	2199	3696	2654	1897	2975	3194
YAL017W	1508	787	1629	759	1359	970	1591	1530	1079	1429	1179	2062	1213	822	1453	1613
YAL018C	12	3	3	3	4	3	3	4	6	6	8	15	12	5	9	10
YAL019W	571	316	656	277	555	394	554	567	386	425	332	549	437	300	446	475
YAL019W-A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
YAL020C	315	167	323	130	289	178	251	218	186	280	192	317	337	196	259	321
YAL021C	1515	779	1572	713	1336	893	1228	1246	1133	1411	1175	1901	1213	795	1379	1675
YAL022C	1079	587	1175	476	1141	689	1005	1003	705	987	793	1328	992	658	1018	1356
YAL023C	3938	2103	4567	1930	4033	2751	3891	3772	2492	3254	2556	4561	3162	2198	3492	3963
YAL024C	275	138	305	145	247	167	277	285	199	238	192	291	201	132	225	258
YAL025C	575	318	573	303	555	379	555	486	508	616	499	956	524	413	521	634
YAL026C	793	441	861	379	768	503	868	784	535	674	477	835	604	423	644	734
YAL026C-A	0	1	2	0	2	0	0	0	0	2	1	1	1	1	0	0
YAL027W	403	236	350	166	389	259	353	374	320	378	285	477	317	208	312	408
YAL028W	142	77	154	55	116	97	133	118	158	255	153	279	191	141	211	222
YAL029C	786	427	908	346	821	518	897	925	598	816	584	1082	656	447	820	877
YAL030W	702	396	747	319	765	493	772	766	840	1059	796	1504	815	635	916	982
YAL031C	716	394	740	312	667	430	621	655	479	611	451	816	507	378	616	626
YAL031W-A	1	0	3	0	5	0	0	2	1	5	1	1	4	2	5	3
YAL032C	569	290	530	232	524	368	461	439	397	512	332	667	420	275	443	539
YAL033W	310	158	332	153	331	254	329	326	261	341	266	446	316	230	364	359
YAL034C	1354	701	1340	590	1235	772	1141	1132	983	1198	823	1513	913	716	1053	1173
YAL034C-B	2	0	1	0	1	0	2	0	1	0	2	0	2	0	0	1
YAL034W-A	200	124	191	99	212	131	186	174	164	237	146	275	153	115	212	206
YAL035W	2799	1472	2851	1271	2653	1816	2565	2506	1789	2458	1747	2897	2138	1495	2295	2626
YAL036C	1164	664	1243	571	1293	858	1254	1215	1121	1567	1080	1951	1385	943	1329	1683
YAL037C-A	16	12	26	4	27	15	26	20	23	22	14	43	18	19	24	20
YAL037C-B	0	0	0	0	1	0	1	1	6	6	1	12	1	3	1	0
YAL037W	311	146	270	138	312	204	261	249	205	233	158	308	246	177	270	254
YAL038W	6750	3720	7708	3315	6572	4280	5919	5940	7000	9273	7742	12911	9057	5817	9481	11096
YAL039C	1640	886	1508	664	1492	966	1184	1148	959	1224	923	1460	1351	909	1198	1667
YAL040C	2124	1142	2142	934	2065	1385	1913	1903	973	1206	928	1501	1095	772	1143	1323
YAL041W	1011	563	1063	461	1056	664	1001	934	694	913	628	1152	763	588	882	981
YAL042C-A	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	2
YAL042W	2072	1093	2229	990	2139	1352	1902	1793	1477	2055	1668	2538	1889	1296	2058	2322
YAL043C	1368	692	1331	621	1202	808	1199	1153	865	1040	856	1359	908	605	1024	1210
YAL044C	4652	2439	5176	2262	5436	3358	4620	4552	2247	2921	2304	3886	3081	2177	3111	3619
YAL044W-A	8	9	9	11	21	9	20	16	25	27	25	37	21	17	24	22
YAL045C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL046C	920	537	979	484	974	623	874	858	655	811	669	1078	680	510	722	788
YAL047C	343	188	266	126	290	175	282	241	177	210	145	237	221	168	226	250
YAL047W-A	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
YAL048C	428	244	518	214	417	252	452	469	325	391	343	545	343	259	416	457
YAL049C	1795	992	2001	896	1922	1291	1849	1723	1762	2327	1796	3189	1975	1362	2317	2506
YAL051W	804	437	894	381	726	514	813	810	549	693	511	865	595	448	678	703
YAL053W	6072	3232	6343	2795	5744	3701	5453	5488	4080	5450	3880	6771	5173	3460	5581	6047
YAL054C	9099	5032	9826	4274	8655	5693	8317	8138	20323	27570	22432	37755	22925	15431	25662	29437
YAL055W	424	218	377	180	469	308	379	397	409	516	369	783	453	340	457	477
YAL056C-A	1	0	1	0	0	1	1	0	1	0	0	0	2	1	1	1
YAL056W	1483	780	1460	670	1467	929	1408	1386	959	1319	924	1679	1078	741	1271	1351
