ID	Well	Conc	Value
BLK	E2		2882
BLK	A3		1421
BLK	B4		1271
BLK	C5		1528
E1	A2	10	27929
E1	B3	10	29857
E1	C4	10	32287
E1	D5	10	26032
G1	B2	10	11431
G1	C3	10	10672
G1	D4	10	12025
G1	E5	10	11263
E2	C2	10	19947
E2	D3	10	18371
E2	E4	10	20134
E2	A5	10	19467
G2	A4	10	18710
G2	D2	10	17096
G2	E3	10	18036
G2	B5	10	17040
STD1	A1	0	2056
STD1	H6	0	1104
STD2	B1	5	4621
STD2	G6	5	4924
STD3	C1	10	6205
STD3	F6	10	8027
STD4	D1	20	16603
STD4	E6	20	13599
STD5	E1	40	31821
STD5	D6	40	34002
STD6	F1	60	38089
STD6	C6	60	39855
STD7	G1	80	68638
STD7	B6	80	65654
STD8	H1	100	75639
STD8	A6	100	78576
