well	wellsample	sample	dilution	gene	reporter	ct	technical
25	C1	e1		ANB1	FAM	34.904457	1
31	C7	g2		ANB1	FAM	32.94534	1
51	E3	g1		ANB1	FAM	33.91196	1
53	E5	e2		ANB1	FAM	34.685394	1
4	A4	g1		DAK2	FAM	26.16809	1
6	A6	e2		DAK2	FAM	26.93653	1
74	G2	e1		DAK2	FAM	26.991344	1
80	G8	g2		DAK2	FAM	25.587688	1
16	B4	g1		FRE4	FAM	27.926788	1
18	B6	e2		FRE4	FAM	28.394732	1
62	F2	e1		FRE4	FAM	28.994175	1
68	F8	g2		FRE4	FAM	27.433313	1
14	B2	e1		FUS1	FAM	30.475027	1
20	B8	g2		FUS1	FAM	30.734184	1
64	F4	g1		FUS1	FAM	31.946163	1
66	F6	e2		FUS1	FAM	29.822178	1
1	A1	e1		GAS2	FAM	28.886574	1
7	A7	g2		GAS2	FAM	26.871893	1
75	G3	g1		GAS2	FAM	27.743263	1
77	G5	e2		GAS2	FAM	28.719818	1
15	B3	g1		LSM5	FAM	Undetermined	1
17	B5	e2		LSM5	FAM	Undetermined	1
61	F1	e1		LSM5	FAM	Undetermined	1
67	F7	g2		LSM5	FAM	Undetermined	1
3	A3	g1		MEK1	FAM	28.480389	1
5	A5	e2		MEK1	FAM	28.741182	1
73	G1	e1		MEK1	FAM	28.84209	1
79	G7	g2		MEK1	FAM	27.843864	1
38	D2	e1		OPT1	FAM	26.820389	1
40	D4	g1		OPT1	FAM	26.51352	1
42	D6	e2		OPT1	FAM	26.840605	1
44	D8	g2		OPT1	FAM	25.96469	1
13	B1	e1		OSW1	FAM	36.983994	1
19	B7	g2		OSW1	FAM	32.880028	1
63	F3	g1		OSW1	FAM	34.10215	1
65	F5	e2		OSW1	FAM	36.41118	1
28	C4	g1		PTR2	FAM	28.038002	1
30	C6	e2		PTR2	FAM	27.893465	1
50	E2	e1		PTR2	FAM	28.771954	1
56	E8	g2		PTR2	FAM	27.306849	1
2	A2	e1		RCK1	FAM	33.904022	1
8	A8	g2		RCK1	FAM	31.729897	1
76	G4	g1		RCK1	FAM	32.55182	1
78	G6	e2		RCK1	FAM	33.542408	1
10	A10	g1	6	rRNA18S-X	FAM	25.54837	1
11	A11	e2	6	rRNA18S-X	FAM	24.14479	1
12	A12	g2	6	rRNA18S-X	FAM	23.912617	1
9	A9	e1	6	rRNA18S-X	FAM	29.336798	1
22	B10	g1	7	rRNA18S-X	FAM	26.491318	1
23	B11	e2	7	rRNA18S-X	FAM	25.578012	1
24	B12	g2	7	rRNA18S-X	FAM	25.176546	1
21	B9	e1	7	rRNA18S-X	FAM	32.40357	1
34	C10	g1	8	rRNA18S-X	FAM	26.610413	1
35	C11	e2	8	rRNA18S-X	FAM	26.723928	1
36	C12	g2	8	rRNA18S-X	FAM	26.00725	1
33	C9	e1	8	rRNA18S-X	FAM	34.996723	1
46	D10	g1	9	rRNA18S-X	FAM	26.504507	1
47	D11	e2	9	rRNA18S-X	FAM	26.899496	1
48	D12	g2	9	rRNA18S-X	FAM	26.246012	1
45	D9	e1	9	rRNA18S-X	FAM	35.87791	1
58	E10	g1	10	rRNA18S-X	FAM	26.99062	1
59	E11	e2	10	rRNA18S-X	FAM	25.857794	1
60	E12	g2	10	rRNA18S-X	FAM	26.285574	1
57	E9	e1	10	rRNA18S-X	FAM	35.755966	1
A9	A9	e1	6	rRNA18S	Unknown	24.51379	1
A10	A10	g1	6	rRNA18S	Unknown	24.825476	1
A11	A11	e2	6	rRNA18S	Unknown	25.349937	1
A12	A12	g2	6	rRNA18S	Unknown	24.815348	1
B9	B9	e1	7	rRNA18S	Unknown	28.388788	1
B10	B10	g1	7	rRNA18S	Unknown	28.444326	1
B11	B11	e2	7	rRNA18S	Unknown	28.62039	1
B12	B12	g2	7	rRNA18S	Unknown	27.688812	1
C9	C9	e1	8	rRNA18S	Unknown	31.180544	1
C10	C10	g1	8	rRNA18S	Unknown	31.575014	1
C11	C11	e2	8	rRNA18S	Unknown	32.065678	1
C12	C12	g2	8	rRNA18S	Unknown	30.790134	1
D9	D9	e1	9	rRNA18S	Unknown	34.25299	1
D10	D10	g1	9	rRNA18S	Unknown	37.293625	1
D11	D11	e2	9	rRNA18S	Unknown	34.603756	1
D12	D12	g2	9	rRNA18S	Unknown	35.319466	1
27	C3	g1		RSB1	FAM	27.083849	1
29	C5	e2		RSB1	FAM	26.974087	1
49	E1	e1		RSB1	FAM	26.934248	1
55	E7	g2		RSB1	FAM	26.516996	1
26	C2	e1		SMA2	FAM	27.650131	1
32	C8	g2		SMA2	FAM	26.955635	1
52	E4	g1		SMA2	FAM	27.512146	1
54	E6	e2		SMA2	FAM	27.356668	1
37	D1	e1		SPS1	FAM	31.109743	1
39	D3	g1		SPS1	FAM	30.47573	1
41	D5	e2		SPS1	FAM	30.943012	1
43	D7	g2		SPS1	FAM	29.412378	1
25	C1	e1		ANB1	FAM	35.340416	2
31	C7	g2		ANB1	FAM	33.505154	2
39	D3	g1		ANB1	FAM	33.88919	2
41	D5	e2		ANB1	FAM	34.927547	2
4	A4	g1		DAK2	FAM	26.955236	2
6	A6	e2		DAK2	FAM	28.021833	2
74	G2	e1		DAK2	FAM	Undetermined	2
80	G8	g2		DAK2	FAM	26.669727	2
16	B4	g1		FRE4	FAM	27.958557	2
18	B6	e2		FRE4	FAM	28.638102	2
62	F2	e1		FRE4	FAM	28.918053	2
68	F8	g2		FRE4	FAM	27.55447	2
14	B2	e1		FUS1	FAM	29.65206	2
20	B8	g2		FUS1	FAM	30.616646	2
64	F4	g1		FUS1	FAM	31.668674	2
66	F6	e2		FUS1	FAM	29.955843	2
1	A1	e1		GAS2	FAM	28.948343	2
7	A7	g2		GAS2	FAM	27.522224	2
63	F3	g1		GAS2	FAM	28.324629	2
65	F5	e2		GAS2	FAM	29.450647	2
3	A3	g1		MEK1	FAM	28.778605	2
5	A5	e2		MEK1	FAM	28.913956	2
61	F1	e1		MEK1	FAM	28.945583	2
67	F7	g2		MEK1	FAM	28.24746	2
38	D2	e1		OPT1	FAM	25.93771	2
40	D4	g1		OPT1	FAM	25.999672	2
42	D6	e2		OPT1	FAM	26.94675	2
44	D8	g2		OPT1	FAM	25.619251	2
13	B1	e1		OSW1	FAM	36.52866	2
19	B7	g2		OSW1	FAM	33.624344	2
51	E3	g1		OSW1	FAM	34.82422	2
53	E5	e2		OSW1	FAM	36.95166	2
28	C4	g1		PTR2	FAM	28.383081	2
30	C6	e2		PTR2	FAM	28.583134	2
50	E2	e1		PTR2	FAM	28.742722	2
56	E8	g2		PTR2	FAM	27.89346	2
2	A2	e1		RCK1	FAM	33.659664	2
8	A8	g2		RCK1	FAM	31.887383	2
76	G4	g1		RCK1	FAM	32.52364	2
78	G6	e2		RCK1	FAM	33.51173	2
10	A10	g1	6	rRNA18S	FAM	27.1909	2
11	A11	e2	6	rRNA18S	FAM	26.559458	2
12	A12	g2	6	rRNA18S	FAM	26.224718	2
9	A9	e1	6	rRNA18S	FAM	26.285694	2
22	B10	g1	7	rRNA18S	FAM	31.18841	2
23	B11	e2	7	rRNA18S	FAM	30.52723	2
24	B12	g2	7	rRNA18S	FAM	30.25488	2
21	B9	e1	7	rRNA18S	FAM	29.826458	2
34	C10	g1	8	rRNA18S	FAM	34.226654	2
35	C11	e2	8	rRNA18S	FAM	33.36878	2
36	C12	g2	8	rRNA18S	FAM	33.50011	2
33	C9	e1	8	rRNA18S	FAM	33.394764	2
46	D10	g1	9	rRNA18S	FAM	37.172382	2
47	D11	e2	9	rRNA18S	FAM	35.65662	2
48	D12	g2	9	rRNA18S	FAM	36.939606	2
45	D9	e1	9	rRNA18S	FAM	36.59395	2
58	E10	g1	neg control	rRNA18S	FAM	Undetermined	2
59	E11	e2	neg control	rRNA18S	FAM	Undetermined	2
60	E12	g2	neg control	rRNA18S	FAM	Undetermined	2
57	E9	e1	neg control	rRNA18S	FAM	Undetermined	2
15	B3	g1		RSB1	FAM	27.741196	2
17	B5	e2		RSB1	FAM	27.969292	2
